Timestamp,Event,Details
2025-05-02 09:55:47,Identity Verification,Success
2025-05-02 09:56:13,Monitoring,Started
2025-05-02 09:56:19,Violation,Multiple persons detected (2)
2025-05-02 09:56:19,Violation,Multiple persons detected (2)
2025-05-02 09:56:19,Violation,Multiple persons detected (2)
2025-05-02 09:56:20,Violation,Multiple persons detected (2)
2025-05-02 09:56:20,Violation,Multiple persons detected (2)
2025-05-02 09:56:20,Violation,Multiple persons detected (2)
2025-05-02 09:56:21,Violation,Multiple persons detected (2)
2025-05-02 09:56:21,Violation,Multiple persons detected (2)
2025-05-02 09:56:21,Violation,Multiple persons detected (2)
2025-05-02 09:56:21,Violation,Multiple persons detected (2)
2025-05-02 09:56:22,Violation,Multiple persons detected (2)
2025-05-02 09:56:22,Violation,Multiple persons detected (2)
2025-05-02 09:56:22,Violation,Multiple persons detected (2)
2025-05-02 09:56:22,Violation,Multiple persons detected (2)
2025-05-02 09:56:22,Violation,Multiple persons detected (2)
2025-05-02 09:56:23,Violation,Multiple persons detected (2)
2025-05-02 09:56:23,Violation,Multiple persons detected (2)
2025-05-02 09:56:23,Violation,Multiple persons detected (2)
2025-05-02 09:56:23,Violation,Multiple persons detected (2)
2025-05-02 09:56:23,Violation,Multiple persons detected (2)
2025-05-02 09:56:24,Violation,Multiple persons detected (2)
2025-05-02 09:56:24,Violation,Multiple persons detected (2)
2025-05-02 09:56:24,Violation,Multiple persons detected (2)
2025-05-02 09:56:24,Violation,Multiple persons detected (2)
2025-05-02 09:56:24,Violation,Multiple persons detected (2)
2025-05-02 09:56:25,Violation,Multiple persons detected (2)
2025-05-02 09:56:25,Violation,Multiple persons detected (2)
2025-05-02 09:56:25,Violation,Multiple persons detected (2)
2025-05-02 09:56:25,Violation,Multiple persons detected (2)
2025-05-02 09:56:25,Violation,Multiple persons detected (2)
2025-05-02 09:56:26,Violation,Multiple persons detected (2)
2025-05-02 09:56:26,Violation,Multiple persons detected (2)
2025-05-02 09:56:27,Violation,Multiple persons detected (2)
2025-05-02 09:56:27,Violation,Multiple persons detected (2)
2025-05-02 09:56:27,Violation,Multiple persons detected (2)
2025-05-02 09:56:27,Violation,Multiple persons detected (2)
2025-05-02 09:56:27,Violation,Multiple persons detected (2)
2025-05-02 09:56:28,Violation,No person in frame
2025-05-02 09:56:28,Violation,No face detected
2025-05-02 09:56:29,Violation,No person in frame
2025-05-02 09:56:29,Violation,No face detected
2025-05-02 09:56:31,Violation,Multiple persons detected (2)
2025-05-02 09:56:31,Violation,Multiple persons detected (2)
2025-05-02 09:56:32,Violation,No person in frame
2025-05-02 09:56:32,Violation,No face detected
2025-05-02 09:56:32,Violation,No person in frame
2025-05-02 09:56:32,Violation,No face detected
2025-05-02 09:56:32,Violation,No person in frame
2025-05-02 09:56:32,Violation,No face detected
2025-05-02 09:56:33,Violation,No person in frame
2025-05-02 09:56:33,Violation,No face detected
2025-05-02 09:56:33,Violation,No person in frame
2025-05-02 09:56:33,Violation,No face detected
2025-05-02 09:56:33,Violation,No person in frame
2025-05-02 09:56:33,Violation,No face detected
2025-05-02 09:56:33,Violation,No person in frame
2025-05-02 09:56:33,Violation,No face detected
2025-05-02 09:56:34,Violation,No person in frame
2025-05-02 09:56:34,Violation,No face detected
2025-05-02 09:56:34,Violation,No person in frame
2025-05-02 09:56:34,Violation,No face detected
2025-05-02 09:56:34,Violation,No person in frame
2025-05-02 09:56:34,Violation,No face detected
2025-05-02 09:56:34,Violation,No person in frame
2025-05-02 09:56:34,Violation,No face detected
2025-05-02 09:56:35,Violation,No person in frame
2025-05-02 09:56:35,Violation,No face detected
2025-05-02 09:56:35,Violation,No person in frame
2025-05-02 09:56:35,Violation,No face detected
2025-05-02 09:56:35,Violation,No person in frame
2025-05-02 09:56:35,Violation,No face detected
2025-05-02 09:56:35,Violation,No person in frame
2025-05-02 09:56:35,Violation,No face detected
2025-05-02 09:56:36,Violation,No person in frame
2025-05-02 09:56:36,Violation,No face detected
2025-05-02 09:56:36,Violation,No person in frame
2025-05-02 09:56:36,Violation,No face detected
2025-05-02 09:56:37,Violation,No person in frame
2025-05-02 09:56:37,Violation,No face detected
2025-05-02 09:56:37,Violation,No person in frame
2025-05-02 09:56:37,Violation,No face detected
2025-05-02 09:56:37,Violation,No person in frame
2025-05-02 09:56:37,Violation,No face detected
2025-05-02 09:56:38,Violation,No person in frame
2025-05-02 09:56:38,Violation,No face detected
2025-05-02 09:56:38,Violation,Multiple persons detected (2)
2025-05-02 09:56:38,Violation,Multiple persons detected (2)
2025-05-02 09:56:38,Violation,Multiple persons detected (2)
2025-05-02 09:56:38,Violation,Multiple persons detected (2)
2025-05-02 09:56:39,Violation,Multiple persons detected (2)
2025-05-02 09:56:39,Violation,Multiple persons detected (2)
2025-05-02 09:56:39,Violation,Multiple persons detected (2)
2025-05-02 09:56:39,Violation,Multiple persons detected (2)
2025-05-02 09:56:39,Violation,Multiple persons detected (2)
2025-05-02 09:56:40,Violation,Multiple persons detected (2)
2025-05-02 09:56:40,Violation,Multiple persons detected (2)
2025-05-02 09:56:42,Violation,Multiple persons detected (2)
2025-05-02 09:56:42,Violation,Multiple persons detected (2)
2025-05-02 09:56:42,Violation,Multiple persons detected (3)
2025-05-02 09:56:43,Violation,Multiple persons detected (2)
2025-05-02 09:56:43,Violation,Multiple persons detected (2)
2025-05-02 09:56:43,Violation,Multiple persons detected (2)
2025-05-02 09:56:43,Violation,Multiple persons detected (2)
2025-05-02 09:56:43,Violation,Multiple persons detected (2)
2025-05-02 09:56:44,Violation,Multiple persons detected (2)
2025-05-02 09:56:44,Violation,Multiple persons detected (2)
2025-05-02 09:56:44,Violation,Multiple persons detected (2)
2025-05-02 09:56:44,Violation,Multiple persons detected (2)
2025-05-02 09:56:45,Violation,Multiple persons detected (2)
2025-05-02 09:56:45,Violation,Multiple persons detected (2)
2025-05-02 09:56:46,Violation,Multiple persons detected (2)
2025-05-02 09:56:47,Violation,Multiple persons detected (2)
2025-05-02 09:56:47,Violation,Multiple persons detected (2)
2025-05-02 09:56:47,Violation,Multiple persons detected (2)
2025-05-02 09:56:47,Violation,Multiple persons detected (2)
2025-05-02 09:56:48,Violation,Multiple persons detected (2)
2025-05-02 09:56:48,Violation,No person in frame
2025-05-02 09:56:48,Violation,No face detected
2025-05-02 09:56:49,Violation,Multiple persons detected (2)
2025-05-02 09:56:49,Violation,Multiple persons detected (2)
2025-05-02 09:56:49,Violation,Multiple persons detected (2)
2025-05-02 09:56:49,Violation,Multiple persons detected (2)
2025-05-02 09:56:50,Violation,Multiple persons detected (2)
2025-05-02 09:56:50,Violation,Multiple persons detected (2)
2025-05-02 09:56:51,Violation,No person in frame
2025-05-02 09:56:51,Violation,No face detected
2025-05-02 09:56:51,Violation,No person in frame
2025-05-02 09:56:51,Violation,No face detected
2025-05-02 09:56:51,Violation,Multiple persons detected (2)
2025-05-02 09:56:52,Violation,Multiple persons detected (2)
2025-05-02 09:56:52,Violation,Multiple persons detected (2)
2025-05-02 09:56:52,Violation,Multiple persons detected (2)
2025-05-02 09:56:52,Violation,Multiple persons detected (2)
2025-05-02 09:56:53,Violation,Multiple persons detected (2)
2025-05-02 09:56:53,Violation,Multiple persons detected (2)
2025-05-02 09:56:53,Violation,Multiple persons detected (2)
2025-05-02 09:56:53,Violation,Multiple persons detected (2)
2025-05-02 09:56:53,Violation,Multiple persons detected (2)
2025-05-02 09:56:54,Violation,Multiple persons detected (2)
2025-05-02 09:56:54,Violation,Multiple persons detected (2)
2025-05-02 09:56:54,Violation,Multiple persons detected (2)
2025-05-02 09:56:54,Violation,Multiple persons detected (2)
2025-05-02 09:56:55,Violation,Multiple persons detected (2)
2025-05-02 09:56:55,Violation,Multiple persons detected (2)
2025-05-02 09:56:55,Violation,Multiple persons detected (2)
2025-05-02 09:56:55,Violation,Multiple persons detected (2)
2025-05-02 09:56:56,Violation,Multiple persons detected (2)
2025-05-02 09:56:56,Violation,Multiple persons detected (2)
2025-05-02 09:56:57,Monitoring,Stopped
2025-05-02 09:57:42,Identity Verification,Success
2025-05-02 09:57:47,Monitoring,Started
2025-05-02 09:57:53,Violation,Multiple persons detected (2)
2025-05-02 09:57:53,Violation,Multiple persons detected (2)
2025-05-02 09:57:53,Violation,Multiple persons detected (2)
2025-05-02 09:57:54,Violation,Multiple persons detected (2)
2025-05-02 09:57:54,Violation,Multiple persons detected (2)
2025-05-02 09:57:54,Violation,Multiple persons detected (2)
2025-05-02 09:57:54,Violation,Multiple persons detected (2)
2025-05-02 09:57:54,Violation,Multiple persons detected (2)
2025-05-02 09:57:55,Violation,Multiple persons detected (2)
2025-05-02 09:57:55,Violation,Multiple persons detected (2)
2025-05-02 09:57:55,Violation,Multiple persons detected (2)
2025-05-02 09:57:55,Violation,Multiple persons detected (2)
2025-05-02 09:57:55,Violation,Multiple persons detected (2)
2025-05-02 09:57:56,Violation,Multiple persons detected (2)
2025-05-02 09:57:56,Violation,Multiple persons detected (2)
2025-05-02 09:57:56,Violation,Multiple persons detected (2)
2025-05-02 09:57:56,Violation,Multiple persons detected (2)
2025-05-02 09:57:56,Violation,Multiple persons detected (2)
2025-05-02 09:57:57,Violation,Multiple persons detected (2)
2025-05-02 09:57:57,Violation,Multiple persons detected (2)
2025-05-02 09:57:57,Violation,Multiple persons detected (2)
2025-05-02 09:57:58,Violation,Multiple persons detected (2)
2025-05-02 09:57:58,Violation,Multiple persons detected (2)
2025-05-02 09:57:58,Violation,Multiple persons detected (2)
2025-05-02 09:57:58,Violation,Multiple persons detected (2)
2025-05-02 09:57:59,Violation,Multiple persons detected (2)
2025-05-02 09:57:59,Violation,Multiple persons detected (2)
2025-05-02 09:57:59,Violation,Multiple persons detected (2)
2025-05-02 09:57:59,Violation,Multiple persons detected (2)
2025-05-02 09:58:00,Violation,Multiple persons detected (2)
2025-05-02 09:58:00,Violation,Multiple persons detected (2)
2025-05-02 09:58:00,Violation,Multiple persons detected (2)
2025-05-02 09:58:00,Violation,Multiple persons detected (2)
2025-05-02 09:58:00,Violation,Multiple persons detected (2)
2025-05-02 09:58:01,Violation,Multiple persons detected (2)
2025-05-02 09:58:01,Violation,Multiple persons detected (2)
2025-05-02 09:58:01,Violation,Multiple persons detected (2)
2025-05-02 09:58:01,Violation,Multiple persons detected (2)
2025-05-02 09:58:01,Violation,Multiple persons detected (2)
2025-05-02 09:58:02,Violation,Multiple persons detected (2)
2025-05-02 09:58:02,Violation,Multiple persons detected (2)
2025-05-02 09:58:02,Violation,No person in frame
2025-05-02 09:58:02,Violation,No face detected
2025-05-02 09:58:03,Violation,No person in frame
2025-05-02 09:58:03,Violation,No face detected
2025-05-02 09:58:03,Violation,No person in frame
2025-05-02 09:58:03,Violation,No face detected
2025-05-02 09:58:03,Violation,No person in frame
2025-05-02 09:58:03,Violation,No face detected
2025-05-02 09:58:03,Violation,No person in frame
2025-05-02 09:58:04,Violation,No face detected
